TEAM_NAME,FG3M,FG3A,FG3_PCT,W_RANK,SEASON
Indiana Pacers,396,1159,0.342,18,2000-01
Los Angeles Clippers,360,1063,0.339,22,2000-01
Los Angeles Lakers,439,1275,0.344,2,2000-01
Miami Heat,478,1384,0.345,9,2000-01
Milwaukee Bucks,562,1481,0.379,7,2000-01
Minnesota Timberwolves,322,901,0.357,12,2000-01
New Jersey Nets,361,1084,0.333,24,2000-01
New York Knicks,391,1115,0.351,11,2000-01
Orlando Magic,490,1346,0.364,17,2000-01
Philadelphia 76ers,262,803,0.326,2,2000-01
Phoenix Suns,332,1054,0.315,8,2000-01
Portland Trail Blazers,369,1057,0.349,9,2000-01
Sacramento Kings,479,1353,0.354,4,2000-01
San Antonio Spurs,445,1094,0.407,1,2000-01
Seattle SuperSonics,466,1169,0.399,16,2000-01
Toronto Raptors,429,1164,0.369,12,2000-01
Utah Jazz,325,852,0.381,5,2000-01
Vancouver Grizzlies,325,947,0.343,26,2000-01
Washington Wizards,275,848,0.324,27,2000-01
Atlanta Hawks,423,1194,0.354,22,2001-02
Boston Celtics,699,1946,0.359,8,2001-02
Charlotte Hornets,346,994,0.348,11,2001-02
Chicago Bulls,300,868,0.346,28,2001-02
Cleveland Cavaliers,387,1026,0.377,24,2001-02
Dallas Mavericks,621,1645,0.378,4,2001-02
Denver Nuggets,423,1285,0.329,26,2001-02
Detroit Pistons,567,1509,0.376,6,2001-02
Golden State Warriors,320,994,0.322,28,2001-02
Houston Rockets,496,1480,0.335,25,2001-02
Indiana Pacers,405,1195,0.339,15,2001-02
Los Angeles Clippers,408,1147,0.356,18,2001-02
Los Angeles Lakers,510,1439,0.354,2,2001-02
Memphis Grizzlies,336,1096,0.307,27,2001-02
Miami Heat,312,899,0.347,20,2001-02
Milwaukee Bucks,593,1583,0.375,17,2001-02
Minnesota Timberwolves,396,1047,0.378,6,2001-02
New Jersey Nets,403,1194,0.338,5,2001-02
New York Knicks,474,1344,0.353,23,2001-02
Orlando Magic,620,1660,0.373,11,2001-02
Philadelphia 76ers,214,715,0.299,14,2001-02
Phoenix Suns,358,1096,0.327,20,2001-02
Portland Trail Blazers,466,1318,0.354,8,2001-02
Sacramento Kings,426,1160,0.367,1,2001-02
San Antonio Spurs,438,1211,0.362,2,2001-02
Seattle SuperSonics,489,1292,0.378,10,2001-02
Toronto Raptors,387,1109,0.349,15,2001-02
Utah Jazz,280,842,0.333,11,2001-02
Washington Wizards,305,786,0.388,19,2001-02
Atlanta Hawks,402,1141,0.352,22,2002-03
Boston Celtics,719,2155,0.334,13,2002-03
Chicago Bulls,349,997,0.35,23,2002-03
Cleveland Cavaliers,293,897,0.327,28,2002-03
Dallas Mavericks,636,1668,0.381,1,2002-03
Denver Nuggets,229,824,0.278,28,2002-03
Detroit Pistons,533,1488,0.358,5,2002-03
Golden State Warriors,425,1235,0.344,19,2002-03
Houston Rockets,439,1267,0.346,15,2002-03
Indiana Pacers,379,1119,0.339,9,2002-03
Los Angeles Clippers,390,1178,0.331,25,2002-03
Los Angeles Lakers,486,1367,0.356,5,2002-03
Memphis Grizzlies,467,1279,0.365,24,2002-03
Miami Heat,348,1100,0.316,26,2002-03
Milwaukee Bucks,585,1526,0.383,16,2002-03
Minnesota Timberwolves,296,804,0.368,4,2002-03
New Jersey Nets,346,1041,0.332,8,2002-03
New Orleans Hornets,404,1075,0.376,11,2002-03
New York Knicks,606,1582,0.383,20,2002-03
Orlando Magic,568,1590,0.357,16,2002-03
Philadelphia 76ers,245,787,0.311,9,2002-03
Phoenix Suns,394,1149,0.343,13,2002-03
Portland Trail Blazers,379,1150,0.33,5,2002-03
Sacramento Kings,491,1288,0.381,3,2002-03
San Antonio Spurs,449,1270,0.354,1,2002-03
Seattle SuperSonics,456,1291,0.353,18,2002-03
Toronto Raptors,409,1193,0.343,27,2002-03
Utah Jazz,224,641,0.349,11,2002-03
Washington Wizards,253,811,0.312,20,2002-03
Atlanta Hawks,419,1249,0.335,25,2003-04
Boston Celtics,553,1599,0.346,20,2003-04
Chicago Bulls,429,1256,0.342,28,2003-04
Cleveland Cavaliers,247,786,0.314,21,2003-04
Dallas Mavericks,507,1456,0.348,7,2003-04
Denver Nuggets,331,985,0.336,11,2003-04
Detroit Pistons,333,968,0.344,6,2003-04
Golden State Warriors,429,1283,0.334,18,2003-04
Houston Rockets,515,1406,0.366,10,2003-04
Indiana Pacers,449,1281,0.351,1,2003-04
Los Angeles Clippers,329,1024,0.321,25,2003-04
Los Angeles Lakers,365,1115,0.327,4,2003-04
