TEAM_NAME,FG3M,FG3A,FG3_PCT,W_RANK,SEASON,year,Champion
Utah Jazz,610,1781,0.343,18,2014-15,2014-15,Golden State Warriors
Washington Wizards,497,1381,0.36,12,2014-15,2014-15,Golden State Warriors
Atlanta Hawks,815,2326,0.35,7,2015-16,2015-16,Golden State Warriors
Boston Celtics,717,2142,0.335,7,2015-16,2015-16,Golden State Warriors
Brooklyn Nets,531,1508,0.352,28,2015-16,2015-16,Golden State Warriors
Charlotte Hornets,873,2410,0.362,7,2015-16,2015-16,Golden State Warriors
Chicago Bulls,651,1753,0.371,14,2015-16,2015-16,Golden State Warriors
Cleveland Cavaliers,880,2428,0.362,3,2015-16,2015-16,Golden State Warriors
Dallas Mavericks,806,2342,0.344,14,2015-16,2015-16,Golden State Warriors
Denver Nuggets,656,1943,0.338,21,2015-16,2015-16,Golden State Warriors
Detroit Pistons,740,2148,0.345,12,2015-16,2015-16,Golden State Warriors
Golden State Warriors,1077,2592,0.416,1,2015-16,2015-16,Golden State Warriors
Houston Rockets,878,2533,0.347,17,2015-16,2015-16,Golden State Warriors
Indiana Pacers,663,1889,0.351,11,2015-16,2015-16,Golden State Warriors
LA Clippers,797,2190,0.364,6,2015-16,2015-16,Golden State Warriors
Los Angeles Lakers,639,2016,0.317,29,2015-16,2015-16,Golden State Warriors
Memphis Grizzlies,504,1521,0.331,14,2015-16,2015-16,Golden State Warriors
Miami Heat,498,1480,0.336,7,2015-16,2015-16,Golden State Warriors
Milwaukee Bucks,440,1277,0.345,21,2015-16,2015-16,Golden State Warriors
Minnesota Timberwolves,455,1347,0.338,26,2015-16,2015-16,Golden State Warriors
New Orleans Pelicans,702,1951,0.36,25,2015-16,2015-16,Golden State Warriors
New York Knicks,610,1762,0.346,24,2015-16,2015-16,Golden State Warriors
Oklahoma City Thunder,678,1945,0.349,5,2015-16,2015-16,Golden State Warriors
Orlando Magic,636,1818,0.35,20,2015-16,2015-16,Golden State Warriors
Philadelphia 76ers,764,2255,0.339,30,2015-16,2015-16,Golden State Warriors
Phoenix Suns,738,2118,0.348,27,2015-16,2015-16,Golden State Warriors
Portland Trail Blazers,864,2336,0.37,12,2015-16,2015-16,Golden State Warriors
Sacramento Kings,660,1839,0.359,21,2015-16,2015-16,Golden State Warriors
San Antonio Spurs,570,1518,0.375,2,2015-16,2015-16,Golden State Warriors
Toronto Raptors,708,1915,0.37,4,2015-16,2015-16,Golden State Warriors
Utah Jazz,694,1956,0.355,19,2015-16,2015-16,Golden State Warriors
Washington Wizards,709,1983,0.358,17,2015-16,2015-16,Golden State Warriors
Atlanta Hawks,729,2137,0.341,11,2016-17,2016-17,Golden State Warriors
Boston Celtics,985,2741,0.359,4,2016-17,2016-17,Golden State Warriors
Brooklyn Nets,877,2591,0.338,30,2016-17,2016-17,Golden State Warriors
