TEAM_NAME,FG3M,FG3A,FG3_PCT,W_RANK,SEASON,year,Champion
Portland Trail Blazers,1043,3017,0.346,25,2021-22,2021-22,Golden State Warriors
Sacramento Kings,937,2722,0.344,24,2021-22,2021-22,Golden State Warriors
San Antonio Spurs,925,2626,0.352,22,2021-22,2021-22,Golden State Warriors
Toronto Raptors,979,2808,0.349,10,2021-22,2021-22,Golden State Warriors
Utah Jazz,1192,3308,0.36,9,2021-22,2021-22,Golden State Warriors
Washington Wizards,860,2512,0.342,21,2021-22,2021-22,Golden State Warriors
Atlanta Hawks,882,2505,0.352,17,2022-23,2022-23,Denver Nuggets
Boston Celtics,1315,3492,0.377,2,2022-23,2022-23,Denver Nuggets
Brooklyn Nets,1048,2771,0.378,9,2022-23,2022-23,Denver Nuggets
Charlotte Hornets,881,2669,0.33,27,2022-23,2022-23,Denver Nuggets
Chicago Bulls,854,2367,0.361,19,2022-23,2022-23,Denver Nuggets
Cleveland Cavaliers,950,2589,0.367,5,2022-23,2022-23,Denver Nuggets
Dallas Mavericks,1246,3362,0.371,21,2022-23,2022-23,Denver Nuggets
Denver Nuggets,969,2559,0.379,4,2022-23,2022-23,Denver Nuggets
Detroit Pistons,934,2659,0.351,30,2022-23,2022-23,Denver Nuggets
Golden State Warriors,1363,3540,0.385,11,2022-23,2022-23,Denver Nuggets
Houston Rockets,856,2619,0.327,28,2022-23,2022-23,Denver Nuggets
Indiana Pacers,1112,3030,0.367,23,2022-23,2022-23,Denver Nuggets
LA Clippers,1041,2734,0.381,11,2022-23,2022-23,Denver Nuggets
Los Angeles Lakers,885,2558,0.346,14,2022-23,2022-23,Denver Nuggets
Memphis Grizzlies,985,2807,0.351,5,2022-23,2022-23,Denver Nuggets
Miami Heat,980,2852,0.344,11,2022-23,2022-23,Denver Nuggets
Milwaukee Bucks,1217,3306,0.368,1,2022-23,2022-23,Denver Nuggets
Minnesota Timberwolves,997,2731,0.365,15,2022-23,2022-23,Denver Nuggets
New Orleans Pelicans,899,2468,0.364,15,2022-23,2022-23,Denver Nuggets
New York Knicks,1037,2930,0.354,8,2022-23,2022-23,Denver Nuggets
Oklahoma City Thunder,995,2797,0.356,19,2022-23,2022-23,Denver Nuggets
Orlando Magic,883,2551,0.346,25,2022-23,2022-23,Denver Nuggets
Philadelphia 76ers,1035,2675,0.387,3,2022-23,2022-23,Denver Nuggets
Phoenix Suns,1001,2674,0.374,9,2022-23,2022-23,Denver Nuggets
Portland Trail Blazers,1056,2893,0.365,26,2022-23,2022-23,Denver Nuggets
Sacramento Kings,1128,3060,0.369,7,2022-23,2022-23,Denver Nuggets
San Antonio Spurs,911,2640,0.345,28,2022-23,2022-23,Denver Nuggets
Toronto Raptors,880,2626,0.335,17,2022-23,2022-23,Denver Nuggets
Utah Jazz,1094,3099,0.353,22,2022-23,2022-23,Denver Nuggets
Washington Wizards,925,2601,0.356,23,2022-23,2022-23,Denver Nuggets
Atlanta Hawks,1125,3092,0.364,21,2023-24,2023-24,Dallas Mavericks
Boston Celtics,1351,3482,0.388,1,2023-24,2023-24,Dallas Mavericks
Brooklyn Nets,1089,3010,0.362,22,2023-24,2023-24,Dallas Mavericks
Charlotte Hornets,989,2788,0.355,27,2023-24,2023-24,Dallas Mavericks
Chicago Bulls,941,2630,0.358,20,2023-24,2023-24,Dallas Mavericks
Cleveland Cavaliers,1108,3016,0.367,11,2023-24,2023-24,Dallas Mavericks
Dallas Mavericks,1197,3242,0.369,6,2023-24,2023-24,Dallas Mavericks
Denver Nuggets,958,2560,0.374,2,2023-24,2023-24,Dallas Mavericks
Detroit Pistons,906,2602,0.348,30,2023-24,2023-24,Dallas Mavericks
Golden State Warriors,1211,3191,0.38,16,2023-24,2023-24,Dallas Mavericks
Houston Rockets,1043,2964,0.352,19,2023-24,2023-24,Dallas Mavericks
Indiana Pacers,1082,2891,0.374,12,2023-24,2023-24,Dallas Mavericks
LA Clippers,1036,2719,0.381,5,2023-24,2023-24,Dallas Mavericks
Los Angeles Lakers,969,2572,0.377,12,2023-24,2023-24,Dallas Mavericks
Memphis Grizzlies,1071,3097,0.346,24,2023-24,2023-24,Dallas Mavericks
Miami Heat,1022,2765,0.37,16,2023-24,2023-24,Dallas Mavericks
Milwaukee Bucks,1163,3122,0.373,8,2023-24,2023-24,Dallas Mavericks
Minnesota Timberwolves,1037,2681,0.387,4,2023-24,2023-24,Dallas Mavericks
New Orleans Pelicans,1023,2673,0.383,8,2023-24,2023-24,Dallas Mavericks
New York Knicks,1083,2936,0.369,6,2023-24,2023-24,Dallas Mavericks
Oklahoma City Thunder,1090,2805,0.389,2,2023-24,2023-24,Dallas Mavericks
Orlando Magic,903,2568,0.352,12,2023-24,2023-24,Dallas Mavericks
Philadelphia 76ers,992,2733,0.363,12,2023-24,2023-24,Dallas Mavericks
Phoenix Suns,1020,2671,0.382,8,2023-24,2023-24,Dallas Mavericks
Portland Trail Blazers,939,2723,0.345,27,2023-24,2023-24,Dallas Mavericks
Sacramento Kings,1178,3219,0.366,16,2023-24,2023-24,Dallas Mavericks
San Antonio Spurs,1036,2983,0.347,26,2023-24,2023-24,Dallas Mavericks
Toronto Raptors,942,2712,0.347,25,2023-24,2023-24,Dallas Mavericks
Utah Jazz,1060,2993,0.354,23,2023-24,2023-24,Dallas Mavericks
Washington Wizards,1015,2915,0.348,29,2023-24,2023-24,Dallas Mavericks
